Months,2015,2016,2017,2018,2019,2020,2021,Growth 2020/19 (%),Growth 2021/20 (%)
January,605918,599518,655540,452236,440907,611702,486338,38.74,-20.49
February,439884,443710,453336,453298,402203,495109,431118,23.1,-12.92
March,463645,483445,481213,504091,484602,287681,479317,-40.64,66.61
April,460423,466079,482423,496531,507704,233,413089,-99.95,177191.42
May,473658,437574,448288,529423,618600,25760,204898,-95.84,695.41
June,519199,570615,538590,723338,668724,180956,217473,-72.94,20.18
July,635349,644719,568004,774602,775580,284643,339026,-63.3,19.11
August,414680,483385,494016,685513,673569,270669,364833,-59.82,34.79
September,311344,428880,321477,448040,489514,274391,435194,-43.95,58.6
October,290754,459242,347752,527386,624463,332214,653771,-46.8,96.79
November,327825,398045,357045,588362,606876,406941,683658,-32.94,68
December,314369,350267,359367,682624,690417,422057,773806,-38.87,83.34
