Sl. No.,States/UT,DTV 2021,FTV 2021
1,Tamil Nadu,115336719,57622
2,Uttar Pradesh,109708435,44737
3,Andhra Pradesh,93277569,27551
4,Karnataka,81333659,72487
5,Maharashtra,43569238,185643
6,Telangana,32000620,5917
7,Punjab,26640429,308135
8,Madhya Pradesh,25554067,41601
9,Gujarat,24525210,11319
10,West Bengal,24325984,34828
11,Rajasthan,21988734,34806
12,Uttarakhand,19434475,8532
13,Jammu and Kashmir,11314920,1650
14,Delhi,10642477,100178
15,Kerala,7537617,60487
16,Himachal Pradesh,5632270,4932
17,Chhattisgarh,4747418,8
18,Odisha,3742221,2269
19,Jharkhand,3383642,1637
20,Goa,3308089,22128
21,Bihar,2501193,1046
22,Haryana,2025450,4578
23,Assam,1409161,536
24,Puducherry,1253213,321
25,Sikkim,511669,11508
26,Daman and Diu,463420,105
27,Leh Ladakh,303023,1054
28,Chandigarh,228809,5451
29,Dadra and Nagar Haveli,197802,80
30,Tripura,177816,5
31,Meghalaya,154409,411
32,Andaman and Nicobar Island,126238,1687
33,Arunachal Pradesh,102915,182
34,Mizoram,87232,234
35,Manipur,49371,648
36,Nagaland,23968,325
37,Lakshadweep,13500,4
Total,Total,677632981,1054642
